Date,Open,High,Low,Close,Adj Close,Volume
2021-02-23,1781.409058,1781.409058,1378.840942,1570.203979,1570.203979,52029864713
2021-02-24,1571.476440,1710.983765,1511.018921,1626.575684,1626.575684,31329000537
2021-02-25,1625.393921,1670.224121,1465.058960,1475.703735,1475.703735,24481681873
2021-02-26,1478.653320,1559.028931,1407.979248,1446.033691,1446.033691,31435997881
2021-02-27,1446.929443,1524.932373,1433.786987,1459.973145,1459.973145,20742103233
2021-02-28,1459.860474,1468.391479,1300.472168,1416.048950,1416.048950,27637026080
2021-03-01,1417.151123,1567.694580,1416.416138,1564.707642,1564.707642,24032838645
2021-03-02,1564.063477,1597.610107,1461.325439,1492.608765,1492.608765,22523669722
2021-03-03,1491.451172,1650.360596,1481.905762,1575.853149,1575.853149,22674780680
2021-03-04,1574.623779,1622.953857,1511.103394,1541.914307,1541.914307,22906118718
2021-03-05,1541.541748,1547.878174,1450.891357,1533.275024,1533.275024,21067146937
2021-03-06,1532.372803,1669.106567,1519.141113,1654.741577,1654.741577,22746262366
2021-03-07,1655.392456,1730.924194,1636.564453,1723.153809,1723.153809,23809935410
2021-03-08,1724.229248,1835.192139,1670.942017,1834.727905,1834.727905,27630991158
2021-03-09,1835.148071,1868.048828,1804.266357,1868.048828,1868.048828,23461244507
2021-03-10,1868.489014,1873.803223,1766.490479,1799.166260,1799.166260,25154173185
2021-03-11,1798.033936,1843.818848,1734.617065,1826.194946,1826.194946,24013132909
2021-03-12,1826.546753,1839.497314,1728.980957,1772.102417,1772.102417,22435821312
2021-03-13,1772.166382,1937.645508,1733.639893,1924.685425,1924.685425,25014689475
2021-03-14,1923.863770,1930.779785,1845.119995,1854.564331,1854.564331,19344589211
2021-03-15,1854.086670,1889.196655,1749.606323,1791.702271,1791.702271,26244738810
2021-03-16,1792.413818,1817.060181,1720.053223,1806.971802,1806.971802,23828509590
2021-03-17,1807.056152,1839.818970,1749.179932,1823.449341,1823.449341,24512917348
2021-03-18,1823.158447,1848.646118,1705.716064,1782.855103,1782.855103,23263845504
2021-03-19,1782.568726,1841.196045,1746.473389,1817.624146,1817.624146,21249297710
2021-03-20,1817.522705,1874.708984,1811.728638,1812.634644,1812.634644,22677674970
2021-03-21,1812.606567,1823.353027,1764.139282,1788.217041,1788.217041,22977404620
2021-03-22,1788.362183,1811.968262,1674.299805,1691.333984,1691.333984,23599296129
2021-03-23,1690.871826,1725.108765,1662.539917,1678.650146,1678.650146,21998237965
2021-03-24,1678.002563,1740.428223,1570.787964,1593.413452,1593.413452,31228051473
2021-03-25,1593.123291,1625.911499,1560.370483,1595.359253,1595.359253,29650328701
2021-03-26,1595.210083,1702.922852,1594.736694,1702.842041,1702.842041,22548516548
2021-03-27,1703.036133,1732.824341,1674.319336,1716.494629,1716.494629,18102277710
2021-03-28,1716.405640,1728.584106,1672.660400,1691.355957,1691.355957,16599472938
2021-03-29,1691.263184,1837.187988,1683.716553,1819.684937,1819.684937,22796570548
2021-03-30,1819.466309,1860.974731,1793.922363,1846.033691,1846.033691,22512781703
2021-03-31,1846.098267,1947.837769,1793.002197,1918.362061,1918.362061,30226902621
2021-04-01,1919.157227,1989.055054,1912.178467,1977.276855,1977.276855,30914259795
2021-04-02,1976.932739,2152.451904,1960.678711,2143.225586,2143.225586,34862511022
2021-04-03,2142.895996,2144.962402,2028.422485,2028.422485,2028.422485,32011518871
2021-04-04,2027.671265,2110.353516,2007.111816,2093.122803,2093.122803,26006501902
2021-04-05,2093.260742,2140.985352,2032.387695,2107.887207,2107.887207,28889391170
2021-04-06,2109.493164,2151.223389,2057.609131,2118.378906,2118.378906,29222865881
2021-04-07,2117.728516,2133.187500,1945.442139,1971.077271,1971.077271,36116271935
2021-04-08,1969.133179,2091.516357,1959.079468,2088.573730,2088.573730,25312956529
2021-04-09,2088.772217,2102.873779,2055.163330,2072.108887,2072.108887,19812472092
2021-04-10,2071.111572,2196.996338,2062.787598,2135.942139,2135.942139,24986243611
2021-04-11,2136.156982,2165.191406,2119.865723,2157.656982,2157.656982,19692836132
2021-04-12,2157.361816,2199.718750,2110.368896,2139.353271,2139.353271,21727936609
2021-04-13,2139.364258,2318.423340,2138.559570,2299.187744,2299.187744,29456642939
2021-04-14,2299.347900,2449.687500,2284.563721,2435.104980,2435.104980,35592822986
2021-04-15,2436.034668,2544.267334,2409.924072,2519.116211,2519.116211,32325606817
2021-04-16,2516.601807,2547.555664,2318.675049,2431.946533,2431.946533,36196928256
2021-04-17,2429.980957,2497.385254,2333.682861,2344.895020,2344.895020,32349808978
2021-04-18,2346.452393,2365.460449,2011.766846,2237.136963,2237.136963,50696368718
2021-04-19,2238.032715,2276.776855,2086.688721,2166.188721,2166.188721,34060654971
2021-04-20,2161.939453,2345.834961,2060.143799,2330.210938,2330.210938,39433483315
2021-04-21,2331.160156,2467.200684,2238.366943,2364.751709,2364.751709,38899067643
2021-04-22,2357.871094,2641.094971,2315.960205,2403.535156,2403.535156,53575904724
2021-04-23,2401.256348,2439.537109,2117.039551,2363.586182,2363.586182,55413933925
2021-04-24,2367.199219,2367.740967,2163.693115,2211.625732,2211.625732,31854226936
2021-04-25,2214.413818,2354.086670,2172.515137,2316.059570,2316.059570,31814355546
2021-04-26,2319.478027,2536.337402,2308.315186,2534.481689,2534.481689,35208325408
2021-04-27,2534.031250,2676.392822,2485.375000,2662.865234,2662.865234,32275969215
2021-04-28,2664.685547,2757.477295,2564.081543,2746.380127,2746.380127,34269031076
2021-04-29,2748.649658,2797.972412,2672.106689,2756.876953,2756.876953,32578127990
2021-04-30,2757.734131,2796.054932,2728.169922,2773.207031,2773.207031,29777179889
2021-05-01,2772.838379,2951.440918,2755.908447,2945.892822,2945.892822,28726205272
2021-05-02,2945.560059,2984.891846,2860.526123,2952.056152,2952.056152,28032013047
2021-05-03,2951.175781,3450.037842,2951.175781,3431.086182,3431.086182,49174290212
2021-05-04,3431.131592,3523.585938,3180.742676,3253.629395,3253.629395,62402045158
2021-05-05,3240.554688,3541.462646,3213.101563,3522.783203,3522.783203,48334198383
2021-05-06,3524.930908,3598.895996,3386.239990,3490.880371,3490.880371,44300394788
2021-05-07,3490.105225,3573.290039,3370.261963,3484.729004,3484.729004,39607240515
2021-05-08,3481.988037,3950.165039,3453.768555,3902.647705,3902.647705,50208491286
2021-05-09,3911.463135,3981.259033,3743.989014,3928.844727,3928.844727,50568290278
2021-05-10,3924.413330,4197.473145,3684.451660,3952.293945,3952.293945,62691789007
2021-05-11,3948.271973,4178.208984,3783.889404,4168.701172,4168.701172,52679737865
